line_item_resource_id,bill_payer_account_id,product_product_name,line_item_product_code,product_region,line_item_usage_type,product_instance_type_family,product_instance_type,line_item_operation,line_item_line_item_type,line_item_normalization_factor,line_item_usage_amount,line_item_unblended_cost,line_item_normalized_usage_amount
i-0eb7c7de545da3c54,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,0.057778,1,0.028889
i-0ed019dee39244b06,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.996944,8,3.998472
i-0ed9420a261b3f355,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:m4.xlarge,m4,m4.xlarge,RunInstances,Usage,8.0,1221.252778,1222,9770.022224
i-0f06d2e7a1b979cf1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993333,8,3.9966665
i-0f0f7686a66918ee1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,208.5,214,104.25
i-0f12904f28a8bf4ad,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988611,8,3.9943055
i-0f41a7f12993d141f,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.995,8,3.9975
i-0f4c2fbbdf8ac9396,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.995556,8,3.997778
i-0f4e54ef8eb988b72,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.997778,8,3.998889
i-0f6011f7fc36d46ee,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,1966.0,1966,983.0
i-0f6a57f12c94805ff,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:c5.large,c5,c5.large,RunInstances,Usage,4.0,1274.152222,1275,5096.608888
i-0f7f5282f9ba54e03,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.large,t2,t2.large,RunInstances,Usage,4.0,0.016667,1,0.066668
i-0fc254f079597bc73,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993333,8,3.9966665
i-0fcaa5687f31a7de8,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993611,8,3.9968055
i-0fdeb81322e5ea21e,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988889,8,3.9944445
